protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,18.221.147.109,3128,http://18.221.147.109:3128,anonymous,true,312,131,100,100,108,18.221.147.109,1,us,Ohio,Columbus,America/New_York,16509,"Amazon.com, Inc.",18,2026-09-19T00:35:20.084Z,2026-09-19T18:26:26.949Z
http,34.44.49.215,80,http://34.44.49.215:80,elite,false,352,149,100,100,1008,34.45.97.62,1,us,Iowa,Council Bluffs,America/Chicago,396982,Google LLC,1,2026-03-17T17:23:32.035Z,2026-09-19T18:25:17.513Z
socks4,72.195.34.35,27360,socks4://72.195.34.35:27360,elite,false,451,452,100,100,1004,72.195.34.35,2,us,California,Irvine,America/Los_Angeles,22773,Cox Communications Inc.,8,2025-09-10T19:34:11.905Z,2026-09-19T18:26:57.284Z
socks5,83.147.217.103,1080,socks5://83.147.217.103:1080,elite,true,529,219,100,100,196,83.147.217.103,1,us,New York,New York City,America/New_York,214861,CloudExa-Hosting LTD,18,2026-09-18T09:46:47.006Z,2026-09-19T18:22:04.658Z
http,12.50.107.222,80,http://12.50.107.222:80,anonymous,false,542,258,100,100,783,12.50.107.218,5,us,Florida,Boca Raton,America/New_York,7018,"AT&T Enterprises, LLC",7,2025-12-06T22:05:54.411Z,2026-09-19T18:21:18.900Z
socks4,174.75.211.222,4145,socks4://174.75.211.222:4145,elite,false,598,456,100,100,1007,174.75.211.222,2,us,Louisiana,Donaldsonville,America/Chicago,22773,Cox Communications Inc.,11,2025-09-10T19:33:53.633Z,2026-09-19T18:23:36.451Z
socks5,184.178.172.5,15303,socks5://184.178.172.5:15303,elite,false,612,519.5,100,100,1006,184.178.172.5,2,us,Virginia,Roanoke,America/New_York,22773,Cox Communications Inc.,1,2026-03-17T17:23:27.652Z,2026-09-19T18:25:41.892Z
socks4,72.223.188.67,4145,socks4://72.223.188.67:4145,elite,false,619,443.5,100,100,1007,72.223.188.67,2,us,Georgia,Atlanta,America/New_York,22773,Cox Communications Inc.,9,2025-09-04T23:50:08.394Z,2026-09-19T18:23:36.429Z
socks4,68.1.210.163,4145,socks4://68.1.210.163:4145,elite,false,623,439.5,100,100,1007,68.1.210.163,2,us,Louisiana,Youngsville,America/Chicago,22773,Cox Communications Inc.,11,2025-09-10T19:34:13.192Z,2026-09-19T18:23:42.602Z
socks4,72.194.42.131,4145,socks4://72.194.42.131:4145,elite,false,650,436.5,100,100,1004,72.194.42.131,2,us,Georgia,Atlanta,America/New_York,22773,Cox Communications Inc.,17,2026-09-04T08:46:33.981Z,2026-09-19T18:25:02.503Z
socks4,184.178.172.13,15311,socks4://184.178.172.13:15311,elite,false,659,451.5,100,100,1003,184.178.172.13,2,us,Virginia,Roanoke,America/New_York,22773,Cox Communications Inc.,11,2025-09-10T19:34:06.941Z,2026-09-19T18:25:02.493Z
socks4,184.178.172.23,4145,socks4://184.178.172.23:4145,elite,false,670,450,100,100,1002,184.178.172.23,2,us,Virginia,Roanoke,America/New_York,22773,Cox Communications Inc.,11,2025-09-10T19:33:55.805Z,2026-09-19T18:24:23.699Z
socks4,72.195.114.169,4145,socks4://72.195.114.169:4145,elite,false,680,438,100,100,1001,72.195.114.169,2,us,Rhode Island,Cumberland,America/New_York,22773,Cox Communications Inc.,10,2025-09-10T19:34:13.333Z,2026-09-19T18:23:03.718Z
socks4,72.207.109.5,4145,socks4://72.207.109.5:4145,elite,false,682,439,100,100,1002,72.207.109.5,2,us,California,San Diego,America/Los_Angeles,22773,Cox Communications Inc.,19,2025-09-10T19:35:14.455Z,2026-09-19T18:23:03.713Z
socks4,98.170.57.231,4145,socks4://98.170.57.231:4145,elite,false,687,440,100,100,1007,98.170.57.231,2,us,Virginia,Fort Hunt,America/New_York,22773,Cox Communications Inc.,11,2025-09-10T19:33:57.818Z,2026-09-19T18:24:38.671Z
socks4,72.207.33.64,4145,socks4://72.207.33.64:4145,elite,false,689,437,100,100,1002,72.207.33.64,2,us,California,San Diego,America/Los_Angeles,22773,Cox Communications Inc.,18,2025-09-04T23:50:08.402Z,2026-09-19T18:24:00.166Z
socks5,72.206.74.126,4145,socks5://72.206.74.126:4145,elite,false,694,524,100,100,1004,72.206.74.126,2,us,Virginia,Fairfax,America/New_York,22773,Cox Communications Inc.,1,2026-03-17T17:23:27.743Z,2026-09-19T18:27:42.455Z
socks4,98.175.31.195,4145,socks4://98.175.31.195:4145,elite,false,697,441.5,100,100,1003,98.175.31.195,2,us,Virginia,Norfolk,America/New_York,22773,Cox Communications Inc.,1,2026-03-17T17:23:30.041Z,2026-09-19T18:23:09.420Z
socks5,174.75.211.193,4145,socks5://174.75.211.193:4145,elite,false,702,518,100,100,1003,174.75.211.193,2,us,Louisiana,Donaldsonville,America/Chicago,22773,Cox Communications Inc.,18,2025-09-07T15:55:41.914Z,2026-09-19T18:24:53.872Z
