protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,43.163.78.54,3128,http://43.163.78.54:3128,transparent,true,1090,937.5,100,100,66,43.163.78.54,1,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",18,2026-09-18T17:31:37.551Z,2026-09-19T04:27:48.555Z
http,129.226.93.232,80,http://129.226.93.232:80,transparent,false,924,940.5,100,99.9,1005,43.156.46.175,1,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",10,2026-04-12T10:52:48.416Z,2026-09-19T04:24:44.684Z
http,97.74.87.226,80,http://97.74.87.226:80,elite,false,950,939.5,97.1,99.3,989,97.74.87.226,1,sg,Singapore,Singapore,Asia/Singapore,26496,"GoDaddy.com, LLC",12,2025-09-10T19:34:34.181Z,2026-09-19T04:27:39.874Z
http,143.42.66.91,80,http://143.42.66.91:80,elite,false,885,893.5,98.6,99.2,997,112.199.233.89,1,sg,Singapore,Singapore,Asia/Singapore,4773,MobileOne Ltd. Mobile/Internet Service Provider Singapore,10,2025-09-10T19:34:29.121Z,2026-09-19T04:30:18.210Z
http,165.225.113.220,11589,http://165.225.113.220:11589,elite,true,1029,1096,100,98.3,987,165.225.113.214,1,sg,Singapore,Singapore,Asia/Singapore,53813,"ZSCALER, INC.",4,2025-09-13T18:47:41.545Z,2026-09-19T04:29:05.136Z
http,43.156.174.122,8080,http://43.156.174.122:8080,elite,true,2000,2853.5,94.8,96.4,192,43.156.174.122,1,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",21,2026-09-17T18:38:48.104Z,2026-09-19T04:28:42.014Z
http,43.134.17.145,8080,http://43.134.17.145:8080,elite,true,2946,2191,95.5,96.2,157,43.134.17.145,2,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",21,2026-09-18T00:41:57.069Z,2026-09-19T04:24:56.422Z
http,43.134.49.34,8080,http://43.134.49.34:8080,elite,true,1414,2090,94.7,95.5,156,43.134.49.34,1,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",21,2026-09-18T00:41:57.069Z,2026-09-19T04:26:21.398Z
http,43.134.186.82,8080,http://43.134.186.82:8080,elite,true,9077,2930.5,94,94.9,156,43.134.186.82,1,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",21,2026-09-18T00:41:57.069Z,2026-09-19T04:22:44.777Z
http,43.156.166.134,8080,http://43.156.166.134:8080,elite,true,3259,3186.5,91.2,93,358,43.156.166.134,1,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",22,2026-09-16T10:21:49.051Z,2026-09-19T04:27:57.066Z
http,43.163.124.191,8080,http://43.163.124.191:8080,elite,true,1465,3079.5,90.6,92.8,265,43.163.124.191,1,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",22,2026-09-17T03:30:44.651Z,2026-09-19T04:21:05.586Z
http,43.163.120.171,8080,http://43.163.120.171:8080,elite,true,5866,2438.5,90.7,92.2,269,43.163.120.171,1,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",22,2026-09-17T03:30:44.651Z,2026-09-19T04:29:11.446Z
http,124.156.194.52,8081,http://124.156.194.52:8081,elite,true,2334,2185.5,87.9,88.8,893,124.156.194.52,2,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",21,2026-09-12T12:13:49.460Z,2026-09-19T04:30:02.600Z
http,43.134.230.44,8080,http://43.134.230.44:8080,elite,true,2417,2441.5,86.9,88.2,144,43.134.230.44,2,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",21,2026-09-18T00:41:57.069Z,2026-09-19T04:30:03.686Z
http,43.156.40.114,8081,http://43.156.40.114:8081,elite,true,2067,2674,91.2,88.1,59,43.156.40.114,1,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",21,2026-09-17T15:34:47.389Z,2026-09-19T04:29:01.906Z
http,43.156.153.104,8080,http://43.156.153.104:8080,elite,true,2085,2558.5,83.1,87.2,540,43.156.153.104,2,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",23,2026-09-15T00:45:37.191Z,2026-09-19T04:23:15.045Z
http,43.156.199.63,8081,http://43.156.199.63:8081,elite,true,2453,2706.5,85.1,86.2,932,43.156.199.63,1,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",23,2026-09-11T14:02:12.383Z,2026-09-19T04:24:43.630Z
http,124.156.194.52,8080,http://124.156.194.52:8080,elite,true,3255,2709,93.1,86.1,724,124.156.194.52,2,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",22,2026-09-13T16:28:47.889Z,2026-09-19T04:30:37.390Z
http,43.156.153.104,8081,http://43.156.153.104:8081,elite,true,2829,3965.5,87.8,85.9,297,43.156.153.104,2,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",21,2026-09-16T20:27:13.401Z,2026-09-19T04:25:40.290Z
http,43.128.76.140,8081,http://43.128.76.140:8081,elite,true,2374,2370.5,83.2,85.8,576,43.128.76.140,2,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",24,2026-09-14T18:42:36.130Z,2026-09-19T04:27:04.447Z
http,43.128.76.140,8080,http://43.128.76.140:8080,elite,true,7092,1740.5,79.8,85.7,829,43.128.76.140,2,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",23,2026-09-12T22:19:08.868Z,2026-09-19T04:22:44.783Z
http,43.134.79.76,8080,http://43.134.79.76:8080,elite,true,2404,2296.5,82.8,85.6,139,43.134.79.76,1,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",21,2026-09-18T00:41:57.069Z,2026-09-19T04:31:16.104Z
http,43.134.230.44,8081,http://43.134.230.44:8081,elite,false,2100,2073,85.3,85.3,61,43.134.230.44,2,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",18,2026-09-18T15:35:47.882Z,2026-09-19T04:21:59.270Z
http,172.237.73.24,80,http://172.237.73.24:80,elite,false,1113,1058,100,81.7,366,172.237.73.24,1,sg,Singapore,Singapore,Asia/Singapore,63949,Akamai Connected Cloud,6,2025-12-07T16:15:05.282Z,2026-09-19T04:22:44.819Z
http,8.219.97.248,80,http://8.219.97.248:80,elite,false,2830,2041,73.8,75,896,8.219.64.236,1,sg,Singapore,Singapore,Asia/Singapore,45102,"Alibaba (US) Technology Co., Ltd.",1,2026-03-17T17:23:33.099Z,2026-09-19T04:23:53.132Z
http,43.160.255.142,7890,http://43.160.255.142:7890,elite,false,1003,1968,58.7,46.9,637,43.160.255.142,2,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",21,2026-07-10T04:49:25.340Z,2026-09-19T04:27:30.890Z
http,111.119.162.248,10913,http://111.119.162.248:10913,elite,true,5975,3792,25,26.4,140,47.236.210.226,2,sg,Singapore,Singapore,Asia/Singapore,45102,"Alibaba (US) Technology Co., Ltd.",17,2026-08-15T10:30:42.251Z,2026-09-19T04:23:21.452Z
http,109.105.220.191,80,http://109.105.220.191:80,elite,true,3495,6357.5,17,17.6,91,167.88.158.72,1,sg,Singapore,Singapore,Asia/Singapore,30081,CacheFly,19,2026-09-17T10:34:31.297Z,2026-09-19T04:28:24.272Z
http,167.172.84.23,3128,http://167.172.84.23:3128,transparent,true,919,942.5,100,,24,167.172.84.23,1,sg,Singapore,Singapore,Asia/Singapore,14061,"DigitalOcean, LLC",12,2026-09-19T00:35:20.084Z,2026-09-19T04:26:50.766Z
http,8.219.94.23,7890,http://8.219.94.23:7890,elite,true,1292,1093.5,33.3,,12,8.219.94.23,3,sg,Singapore,Singapore,Asia/Singapore,45102,"Alibaba (US) Technology Co., Ltd.",12,2026-09-03T17:39:19.467Z,2026-09-19T04:30:03.165Z
http,43.134.17.145,8081,http://43.134.17.145:8081,elite,true,2499,2218,94.1,,17,43.134.17.145,2,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",9,2026-09-19T01:36:15.782Z,2026-09-19T04:25:28.616Z
http,43.134.16.72,8080,http://43.134.16.72:8080,elite,true,7468,4485.5,100,,18,43.134.16.72,1,sg,Singapore,Singapore,Asia/Singapore,132203,"Tencent Building, Kejizhongyi Avenue",10,2026-09-19T01:36:15.782Z,2026-09-19T04:28:59.279Z
http,139.99.121.31,18080,http://139.99.121.31:18080,elite,true,8997,1574,80,,5,139.99.121.31,1,sg,Singapore,Singapore,Asia/Singapore,16276,OVH SAS,2,2026-09-19T03:36:55.103Z,2026-09-19T04:30:43.314Z
