protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,94.253.95.241,3629,socks4://94.253.95.241:3629,elite,false,1735,1295,86.8,82.5,805,94.253.95.241,1,ru,Moscow Oblast,Pushkino,Europe/Moscow,48149,Ivanteevskie telecommunicacii Ltd,13,2025-09-04T23:49:04.755Z,2026-09-22T04:26:29.008Z
socks4,46.8.104.176,1080,socks4://46.8.104.176:1080,elite,false,1299,1566.5,82.9,74.8,762,46.8.104.176,1,ru,Leningradskaya Oblast',Koltushi,Europe/Moscow,207952,Evro Telecom OOO,20,2026-03-10T04:47:34.383Z,2026-09-22T04:27:28.919Z
socks4,109.232.106.150,52435,socks4://109.232.106.150:52435,elite,false,713,1238,77,73.7,750,109.232.106.150,1,ru,Moscow Oblast,Reutov,Europe/Moscow,50299,Thyphone Communications LLC,13,2025-09-04T23:49:00.289Z,2026-09-22T04:30:59.459Z
socks4,83.219.1.130,5678,socks4://83.219.1.130:5678,elite,false,1946,1454.5,76.8,72.5,745,83.219.1.130,1,ru,Perm Krai,Perm,Asia/Yekaterinburg,12389,PJSC Rostelecom,12,2025-09-05T20:06:31.946Z,2026-09-22T04:30:41.037Z
socks4,94.247.241.70,51006,socks4://94.247.241.70:51006,elite,false,712,1271.5,73.2,70.3,738,94.247.241.70,1,ru,St.-Petersburg,Saint Petersburg,Europe/Moscow,41733,JSC ER-Telecom Holding,19,2025-09-04T23:49:07.449Z,2026-09-22T04:30:29.969Z
socks4,88.87.79.18,3629,socks4://88.87.79.18:3629,elite,false,1884,856.5,81.7,66.6,731,88.87.79.18,1,ru,Volgograd Oblast,Volgograd,Europe/Volgograd,39435,JSC ER-Telecom Holding,12,2025-09-05T20:06:34.853Z,2026-09-22T04:33:10.637Z
socks4,147.45.249.29,1080,socks4://147.45.249.29:1080,elite,false,735,816.5,89.5,65.1,175,147.45.249.29,2,ru,Moscow,Moscow,Europe/Moscow,9123,JSC TIMEWEB,10,2026-07-28T17:45:14.548Z,2026-09-22T04:30:20.456Z
socks4,37.193.125.68,1090,socks4://37.193.125.68:1090,elite,false,950,1759.5,60.5,61.1,674,37.193.125.68,1,ru,Novosibirsk Oblast,Novosibirsk,Asia/Novosibirsk,31200,Novotelecom Ltd,20,2026-04-20T07:47:43.644Z,2026-09-22T04:31:52.657Z
socks4,109.68.189.22,54643,socks4://109.68.189.22:54643,elite,false,1853,1751,51.5,59.5,656,109.68.189.22,1,ru,Moscow,Moscow,Europe/Moscow,31430,OOO Suntel,12,2025-09-05T00:23:06.663Z,2026-09-22T04:33:42.087Z
socks4,91.223.224.238,48293,socks4://91.223.224.238:48293,elite,false,822,1835.5,55.7,56.4,624,91.223.224.238,1,ru,Nizhny Novgorod Oblast,Nizhniy Novgorod,Europe/Moscow,197733,LLC ATK Telecom,13,2026-05-06T18:02:27.177Z,2026-09-22T04:29:57.582Z
