protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
socks4,105.214.51.155,5678,socks4://105.214.51.155:5678,elite,false,1354,4328.5,86.9,78.7,249,105.214.51.155,1,za,Gauteng,Johannesburg,Africa/Johannesburg,16637,MTN SA,19,2026-09-18T17:31:39.862Z,2026-09-21T04:28:46.129Z
socks4,105.30.248.241,1080,socks4://105.30.248.241:1080,elite,false,1556,1494,79.4,73.1,803,105.23.242.198,1,za,KwaZulu-Natal,Durban,Africa/Johannesburg,37100,SEACOM Limited,14,2026-07-05T02:41:00.284Z,2026-09-21T04:22:59.641Z
socks4,105.214.104.26,5678,socks4://105.214.104.26:5678,elite,false,8485,1361,78,72.7,286,105.214.104.26,1,za,Gauteng,Johannesburg,Africa/Johannesburg,16637,MTN SA,19,2026-09-18T03:43:35.239Z,2026-09-21T04:24:19.610Z
socks4,105.27.180.194,1080,socks4://105.27.180.194:1080,elite,false,2245,1705.5,72.3,69.3,775,105.27.180.194,1,za,Gauteng,Johannesburg,Africa/Johannesburg,37100,SEACOM Limited,12,2026-02-08T01:22:48.172Z,2026-09-21T04:30:32.435Z
http,102.208.228.90,3128,http://102.208.228.90:3128,elite,true,1071,1149.5,69.2,63,381,102.208.228.90,1,za,Gauteng,Johannesburg,Africa/Johannesburg,328882,Sahdsoft Technologies CC,22,2026-09-13T02:21:10.616Z,2026-09-21T04:28:55.571Z
socks4,160.226.220.30,1080,socks4://160.226.220.30:1080,elite,false,1256,1255.5,79.6,62.5,751,160.226.220.30,1,za,Free State,Bloemfontein,Africa/Johannesburg,37542,Iclix (PTY) Ltd,9,2026-07-04T15:36:58.878Z,2026-09-21T04:22:52.366Z
http,196.223.129.21,80,http://196.223.129.21:80,elite,false,977,1005.5,81.3,55.3,506,196.223.129.21,1,za,Western Cape,Cape Town,Africa/Johannesburg,328471,HERO TELECOMS (PTY) LTD,17,2025-09-10T19:34:27.161Z,2026-09-21T04:30:43.392Z
socks5,168.253.92.93,10808,socks5://168.253.92.93:10808,elite,true,2271,4671.5,44.6,43,637,168.253.92.93,1,za,Gauteng,Pretoria,Africa/Johannesburg,37650,CM Value Added Services (Pty) Ltd,17,2025-11-06T12:07:21.653Z,2026-09-21T04:24:08.644Z
http,102.164.212.8,8080,http://102.164.212.8:8080,transparent,true,1208,2980,43.9,35.7,185,102.164.212.8,1,za,Mpumalanga,eMbalenhle,Africa/Johannesburg,327750,JENNY INTERNET (PTY) LTD,7,2026-08-08T15:04:31.897Z,2026-09-21T04:28:54.007Z
http,102.68.98.94,3128,http://102.68.98.94:3128,elite,true,1030,1169.5,25,19.6,189,102.68.98.94,2,za,Gauteng,Johannesburg,Africa/Johannesburg,329184,Host Africa (Pty) Ltd,22,2026-08-31T10:12:55.518Z,2026-09-21T04:27:30.914Z
http,102.68.98.94,8080,http://102.68.98.94:8080,elite,false,4068,4080.5,38.9,19.2,208,102.68.98.94,2,za,Gauteng,Johannesburg,Africa/Johannesburg,329184,Host Africa (Pty) Ltd,22,2026-09-08T04:35:36.356Z,2026-09-21T04:31:32.542Z
http,196.251.213.192,8081,http://196.251.213.192:8081,transparent,false,8503,4407.5,25,18.4,261,196.251.213.192,1,za,North West,Brits,Africa/Johannesburg,37403,Info-Gro (PTY) Ltd,24,2026-09-03T22:41:43.065Z,2026-09-21T04:26:21.039Z
http,169.255.78.190,8865,http://169.255.78.190:8865,elite,false,6074,4446.5,25,15.5,71,169.255.78.227,1,za,Western Cape,George,Africa/Johannesburg,328471,HERO TELECOMS (PTY) LTD,12,2026-05-13T06:33:08.646Z,2026-09-21T04:22:19.938Z
http,169.239.85.121,8080,http://169.239.85.121:8080,transparent,false,6505,4090.5,22.6,10.4,135,169.239.85.121,1,za,Western Cape,Cape Town,Africa/Johannesburg,327943,Mezobyte (Pty) LTD,13,2025-09-06T09:36:04.588Z,2026-09-21T04:28:05.529Z
http,102.66.176.109,9999,http://102.66.176.109:9999,transparent,true,1275,3850.5,14.3,5.3,95,102.66.176.109,1,za,Eastern Cape,East London,Africa/Johannesburg,328471,HERO TELECOMS (PTY) LTD,11,2025-10-14T23:38:11.906Z,2026-09-21T04:23:02.789Z
socks5,199.30.90.132,1080,socks5://199.30.90.132:1080,elite,true,901,918,90,,10,199.30.90.132,1,za,Gauteng,Johannesburg,Africa/Johannesburg,219401,Yeah Tech LLC,3,2026-07-25T21:08:35.106Z,2026-09-21T04:26:36.245Z
socks4,105.214.80.191,5678,socks4://105.214.80.191:5678,elite,false,1371,1529.5,11.8,,17,105.214.80.191,1,za,Gauteng,Johannesburg,Africa/Johannesburg,16637,MTN SA,11,2026-09-20T12:54:26.443Z,2026-09-21T04:27:32.015Z
http,102.66.8.18,9999,http://102.66.8.18:9999,transparent,false,4850,3492.5,21.4,,49,102.66.8.18,1,za,Western Cape,Cape Town,Africa/Johannesburg,328471,HERO TELECOMS (PTY) LTD,25,2026-08-26T21:14:28.868Z,2026-09-21T04:25:22.911Z
