protocol,ip,port,url,anonymity,https,latency_ms,latency_median_ms,uptime_24h,uptime_7d,checks_7d,exit_ip,exit_shared,country,region,city,timezone,asn,asn_org,sources_count,first_seen,last_checked
http,153.72.68.0,8080,http://153.72.68.0:8080,transparent,false,1048,960,100,100,712,153.72.141.115,1,in,Maharashtra,Mumbai,Asia/Kolkata,396982,Google LLC,11,2026-07-10T09:52:36.881Z,2026-09-15T19:34:10.784Z
http,153.72.68.0,8081,http://153.72.68.0:8081,transparent,false,1057,921.5,100,100,710,153.72.141.139,1,in,Maharashtra,Mumbai,Asia/Kolkata,396982,Google LLC,10,2026-08-24T15:44:16.772Z,2026-09-15T19:29:31.539Z
http,103.231.78.36,80,http://103.231.78.36:80,unknown,false,1002,1024.5,100,99.9,714,103.231.78.36,1,in,Telangana,Jagtiāl,Asia/Kolkata,18229,CtrlS,7,2025-09-04T23:49:07.316Z,2026-09-15T19:26:13.167Z
http,219.65.73.80,80,http://219.65.73.80:80,anonymous,false,1160,1101.5,100,99.9,712,136.232.78.138,2,in,West Bengal,Kolkata,Asia/Kolkata,55836,Reliance Jio Infocomm Limited,10,2026-07-04T23:41:39.823Z,2026-09-15T19:27:31.960Z
http,219.65.73.81,80,http://219.65.73.81:80,anonymous,false,1181,1122.5,100,99.9,712,136.232.78.138,2,in,West Bengal,Kolkata,Asia/Kolkata,55836,Reliance Jio Infocomm Limited,10,2025-09-10T19:34:16.636Z,2026-09-15T19:35:21.033Z
http,20.204.43.57,80,http://20.204.43.57:80,transparent,false,1552,1490.5,100,99.7,713,20.204.43.57,1,in,Maharashtra,Pune,Asia/Kolkata,8075,Microsoft Corporation,5,2025-09-10T20:05:19.204Z,2026-09-15T19:34:55.996Z
socks5,144.24.111.128,1088,socks5://144.24.111.128:1088,elite,true,1502,1516.5,100,99.4,708,144.24.111.128,1,in,Maharashtra,Mumbai,Asia/Kolkata,31898,Oracle Corporation,13,2026-07-05T12:48:04.586Z,2026-09-15T19:30:47.835Z
http,121.35.254.227,19000,http://121.35.254.227:19000,elite,false,8375,7195.5,93.6,85.7,679,103.48.177.33,2,in,Maharashtra,Mumbai,Asia/Kolkata,134268,IHOSTNET,8,2026-09-09T06:49:15.328Z,2026-09-15T19:33:39.895Z
socks5,121.35.254.227,19000,socks5://121.35.254.227:19000,elite,false,6696,7863.5,92.1,82.2,679,103.48.177.33,2,in,Maharashtra,Mumbai,Asia/Kolkata,134268,IHOSTNET,13,2026-09-09T07:48:00.958Z,2026-09-15T19:26:39.850Z
socks4,122.15.255.229,60606,socks4://122.15.255.229:60606,elite,false,4124,1583,76.6,69.7,649,122.15.255.229,1,in,Maharashtra,Mumbai,Asia/Kolkata,55410,Vodafone Idea Ltd,9,2025-09-05T20:06:35.868Z,2026-09-15T19:33:22.490Z
